Meta Data
Label,Value,
Date,5/9/2022
Profile,HillsAndValleys
ScanDuration,300 s
ScanLength,7378.92 µm
ScanResolution,0.0819862 µm
ScanType,Standard Scan
StylusForce,5 mg
StylusScanRange,524 µm
StylusType,Radius: 12.5 μm
Time,12:08:19 PM


Data Leveling Position
R Cursor Position,1701.88708457139 µm
R Cursor Width,0 µm
M Cursor Position,2236.26366251348 µm
M Cursor Width,0 µm


Data
Lateral(µm),Total Profile(Å),,
31.4007062020874,379.29405021162,,
31.4826923801607,378.782762388605,,
31.5646785582341,370.270946052416,,
31.6466647363074,373.533531928937,,
31.7286509143807,378.52643951519,,
31.8106370924541,384.335990204615,,
31.8926232705274,390.026406591197,,
31.9746094486007,374.858508875026,,
32.0565956266741,348.717593595264,,
32.1385818047474,353.296170246991,,
32.2205679828207,350.560332142956,,
32.3025541608941,360.491318435776,,
32.3845403389674,373.149463057977,,
32.4665265170407,377.584330515402,,
32.5485126951141,372.748074658383,,
32.6304988731874,378.395845675569,,
32.7124850512607,374.902138607109,,
32.7944712293341,362.263272583663,,
32.8764574074074,381.419299348143,,
32.9584435854807,383.50451385059,,
33.0404297635541,387.931614654606,,
33.1224159416274,395.192568225552,,
33.2044021197008,405.555940968529,,
33.2863882977741,418.967638927866,,
33.3683744758474,434.996326546932,,
33.4503606539208,442.794956155543,,
33.5323468319941,441.256389877404,,
33.6143330100674,459.820579658709,,
33.6963191881408,468.132788385957,,
33.7783053662141,454.650823873736,,
33.8602915442874,448.871397638533,,
33.9422777223608,441.602422239431,,
34.0242639004341,433.12388382521,,
34.1062500785074,433.722279615483,,
34.1882362565808,423.441078291786,,
34.2702224346541,411.737605975206,,
34.3522086127274,408.712194204326,,
34.4341947908008,394.394104870446,,
34.5161809688741,378.46319034745,,
34.5981671469475,361.381823006024,,
34.6801533250208,353.724966616247,,
34.7621395030941,335.827489452325,,
34.8441256811675,327.344053861663,,
34.9261118592408,328.247359328675,,
35.0080980373141,307.62420392654,,
35.0900842153875,294.395027642641,,
35.1720703934608,269.007752982324,,
35.2540565715341,241.950853630813,,
35.3360427496075,224.799562351489,,
35.4180289276808,209.184434810878,,
35.5000151057541,216.068064024157,,
35.5820012838275,215.839679431544,,
35.6639874619008,207.410443183384,,
35.7459736399741,200.209720756704,,
35.8279598180475,204.253329352758,,
35.9099459961208,199.463131898113,,
35.9919321741941,195.436090059669,,
